NIK,nama,tempat_lahir,tanggal_lahir,jenis_kelamin,golongan_darah,alamat,agama,status_perkawinan,pekerjaan,kewarganegaraan
7907027893528218,Kambali Fujiati,Sukabumi,1960-03-12,Perempuan,AB,"Gg. R.E Martadinata No. 13
Banjar, Kalimantan Timur 41076",Kristen,menikah,Mahasiswa,WNI
4635225203181815,R.M. Rudi Nababan,Mojokerto,1985-03-01,Perempuan,O,"Jl. Rajiman No. 7
Kotamobagu, DI Yogyakarta 48511",Katolik,menikah,PNS,WNA
8855085688389327,"Olivia Pertiwi, M.Ak",Bukittinggi,1940-03-13,Laki-Laki,A,"Gg. Cikutra Timur No. 36
Palu, BE 23390",Islam,cerai,Karyawan Swasta,WNI
2141056228418311,"Sutan Paiman Zulkarnain, S.Kom",Bontang,2015-02-20,Perempuan,B,"Gg. Waringin No. 3
Langsa, KB 81403",Islam,menikah,Wiraswasta,WNA
3146835948643062,"Dt. Jarwadi Putra, S.Kom",Tual,1982-08-28,Laki-Laki,O,"Jalan Pacuan Kuda No. 9
Tasikmalaya, KS 01383",Islam,menikah,Tidak Bekerja,WNI
9441438207145519,Asmianto Marpaung,Dumai,1937-02-21,Perempuan,B,"Jl. Jend. A. Yani No. 626
Singkawang, SB 98773",Konghucu,belum menikah,Tidak Bekerja,WNI
8125857438825890,Lurhur Firmansyah,Blitar,1949-05-07,Laki-Laki,AB,"Gang Cikutra Barat No. 3
Palu, Kalimantan Selatan 30913",Katolik,menikah,Wiraswasta,WNI
4733789056109997,"Cut Syahrini Budiman, S.E.I",Bontang,1937-10-18,Laki-Laki,B,"Gang Pasir Koja No. 15
Pasuruan, Papua Barat 70696",Islam,menikah,Wiraswasta,WNA
3842235046053997,Dian Salahudin,Langsa,1911-12-22,Perempuan,B,"Gg. Suryakencana No. 1
Salatiga, Nusa Tenggara Timur 96158",Buddha,belum menikah,Tidak Bekerja,WNI
0079556157819212,KH. Adinata Fujiati,Dumai,1968-11-15,Laki-Laki,A,"Gang Cikutra Barat No. 324
Sorong, KI 81593",Islam,belum menikah,Pelajar,WNA
1969373444948167,Galak Siregar,Bengkulu,1953-04-20,Perempuan,O,"Gg. Abdul Muis No. 36
Meulaboh, Kalimantan Barat 71820",Buddha,menikah,Wiraswasta,WNI
8511671996469477,"Febi Purnawati, S.Pt",Pagaralam,1942-05-12,Perempuan,O,"Jalan Monginsidi No. 8
Bekasi, PB 16235",Islam,menikah,PNS,WNI
0919020204311741,"Faizah Samosir, M.Kom.",Cilegon,1910-07-30,Laki-Laki,A,"Jalan PHH. Mustofa No. 08
Pontianak, GO 87521",Kristen,cerai,Tidak Bekerja,WNI
0942675953548788,Kezia Kurniawan,Langsa,1967-10-25,Laki-Laki,B,"Gang Yos Sudarso No. 30
Denpasar, Bengkulu 49892",Hindu,cerai,PNS,WNI
4887612598220044,"Laras Hutapea, S.Gz",Tasikmalaya,1930-06-28,Laki-Laki,O,"Gang Erlangga No. 4
Tasikmalaya, RI 67589",Kristen,belum menikah,Wiraswasta,WNI
8721021243850129,Farah Puspita,Sawahlunto,1914-08-30,Perempuan,A,"Jalan Pacuan Kuda No. 02
Tarakan, DKI Jakarta 68204",Buddha,cerai,Pelajar,WNI
0730369497406968,Lalita Kurniawan,Padang,2004-04-01,Perempuan,A,"Jl. Suniaraja No. 72
Sorong, SB 59125",Islam,menikah,Pelajar,WNA
0258971742396601,Natalia Sinaga,Malang,1985-05-18,Laki-Laki,B,"Gang KH Amin Jasuta No. 7
Tegal, Papua 48567",Buddha,belum menikah,Mahasiswa,WNI
6841025476896010,Ophelia Prastuti,Tasikmalaya,2020-07-24,Perempuan,O,"Jalan KH Amin Jasuta No. 5
Sabang, BA 35985",Katolik,menikah,PNS,WNI
9677406574874301,Maryanto Agustina,Samarinda,1984-11-19,Perempuan,B,"Gg. Rumah Sakit No. 15
Makassar, Kepulauan Riau 35709",Hindu,belum menikah,Tidak Bekerja,WNA
9769062241933678,Hj. Kamila Purwanti,Pekalongan,1912-02-27,Perempuan,A,"Gang M.T Haryono No. 40
Palopo, SN 53559",Kristen,cerai,PNS,WNA
0779147561345791,"Puti Zulfa Susanti, S.E.",Bima,1916-01-06,Laki-Laki,O,"Jl. S. Parman No. 39
Tanjungpinang, SR 45472",Katolik,cerai,PNS,WNI
6400449960274810,Puti Tami Utami,Mataram,1939-07-08,Laki-Laki,O,"Gg. Gedebage Selatan No. 57
Tual, KU 05449",Kristen,belum menikah,PNS,WNI
9295388688108901,"Hj. Diana Andriani, M.Pd",Sorong,1964-03-26,Perempuan,O,"Gang M.H Thamrin No. 91
Bitung, SR 21784",Hindu,belum menikah,Wiraswasta,WNI
8191097968399674,"Olivia Astuti, S.Psi",Metro,2009-08-02,Perempuan,O,"Jalan Kutisari Selatan No. 07
Surakarta, Kalimantan Timur 05770",Islam,menikah,Karyawan Swasta,WNI
9634151492235146,Shakila Hidayanto,Banjarbaru,1959-03-12,Laki-Laki,O,"Gg. Cihampelas No. 61
Tangerang Selatan, PA 94384",Konghucu,menikah,Pelajar,WNA
9249089644747525,"Jamal Suryatmi, S.IP",Batam,1920-08-26,Perempuan,AB,"Gang Ciumbuleuit No. 120
Binjai, KT 56882",Kristen,menikah,Pelajar,WNI
5743676929387378,"R.M. Jayeng Hutasoit, S.Pt",Sibolga,1932-04-26,Laki-Laki,B,"Gg. Soekarno Hatta No. 8
Sorong, SR 51453",Katolik,cerai,PNS,WNA
5834127106716934,Puti Puti Damanik,Magelang,2004-01-31,Laki-Laki,AB,"Gg. Suniaraja No. 03
Bitung, JK 97600",Hindu,belum menikah,Pelajar,WNA
8574353024157520,"Prima Natsir, M.Ak",Singkawang,1961-09-01,Laki-Laki,A,"Gang Jayawijaya No. 038
Ternate, Lampung 82933",Konghucu,belum menikah,Mahasiswa,WNI
8424343064383116,Chelsea Mardhiyah,Tasikmalaya,1999-11-25,Perempuan,A,"Jalan Rumah Sakit No. 372
Malang, JI 39467",Hindu,belum menikah,PNS,WNA
3596947389838638,Ana Budiman,Lhokseumawe,1939-07-11,Perempuan,A,"Gang Kutai No. 28
Kotamobagu, Sumatera Barat 81999",Konghucu,belum menikah,Mahasiswa,WNI
2471009908741234,Drs. Rahmi Yulianti,Bogor,1942-08-18,Laki-Laki,B,"Gg. Cihampelas No. 022
Lhokseumawe, PA 78064",Islam,cerai,Wiraswasta,WNA
4833740952651876,Ade Hardiansyah,Salatiga,1972-03-16,Perempuan,A,"Gg. Lembong No. 4
Pekalongan, KS 32093",Buddha,belum menikah,PNS,WNA
2345236229951219,"KH. Kasusra Natsir, S.Ked",Sawahlunto,1946-07-22,Laki-Laki,A,"Jl. Kutai No. 7
Kota Administrasi Jakarta Utara, Aceh 72597",Islam,belum menikah,PNS,WNA
6428109472034555,Usman Saefullah,Blitar,1993-01-02,Laki-Laki,AB,"Jl. Setiabudhi No. 79
Pariaman, SR 69149",Hindu,menikah,Pelajar,WNI
7837104357123538,Kenzie Wibisono,Probolinggo,2008-09-01,Perempuan,O,"Jl. Raya Ujungberung No. 45
Ternate, MA 44143",Kristen,cerai,Tidak Bekerja,WNA
1524203922723436,"Hj. Gilda Yuliarti, S.T.",Mojokerto,2016-12-03,Laki-Laki,A,"Jl. Rawamangun No. 867
Metro, Lampung 80145",Katolik,cerai,Tidak Bekerja,WNA
5752006186123529,dr. Titin Pranowo,Sukabumi,1938-10-20,Perempuan,B,"Gg. Pasirkoja No. 961
Semarang, DI Yogyakarta 79192",Kristen,cerai,Pelajar,WNI
7308692631305026,Darmana Agustina,Banjarbaru,1978-05-17,Laki-Laki,A,"Jl. Kutai No. 01
Banjarmasin, KU 83161",Buddha,menikah,Mahasiswa,WNA
8184422904886460,R. Nadia Usamah,Cilegon,2007-10-07,Laki-Laki,AB,"Gg. R.E Martadinata No. 93
Lubuklinggau, JT 41586",Hindu,cerai,Mahasiswa,WNA
0618651716269651,Ghani Setiawan,Cirebon,1974-09-11,Laki-Laki,B,"Gg. Cihampelas No. 99
Surabaya, KS 92059",Kristen,menikah,Pelajar,WNA
6778406788644185,"Tgk. Kayla Sihombing, S.H.",Kota Administrasi Jakarta Barat,2012-06-18,Perempuan,A,"Gg. Rawamangun No. 9
Subulussalam, AC 71310",Kristen,cerai,Mahasiswa,WNI
2750419343348340,"Titin Situmorang, S.T.",Tual,1957-11-02,Laki-Laki,B,"Jl. Tubagus Ismail No. 3
Semarang, Sumatera Utara 94888",Kristen,belum menikah,Karyawan Swasta,WNI
2596469934957135,Drs. Niyaga Napitupulu,Samarinda,1919-11-24,Perempuan,A,"Jalan Rungkut Industri No. 861
Subulussalam, Bali 56558",Hindu,belum menikah,Mahasiswa,WNA
9339285083223423,Kartika Sihombing,Pontianak,1942-11-08,Laki-Laki,A,"Jalan Rawamangun No. 940
Padang, Kalimantan Timur 05560",Buddha,cerai,Tidak Bekerja,WNA
0000919532670964,Limar Pratiwi,Kota Administrasi Jakarta Pusat,2005-11-14,Perempuan,O,"Gang Suryakencana No. 606
Padang Sidempuan, SS 80771",Buddha,menikah,Mahasiswa,WNI
7605993717349916,"Bakti Namaga, M.Farm",Surakarta,1910-09-15,Perempuan,A,"Jl. Ahmad Dahlan No. 720
Parepare, DKI Jakarta 27718",Katolik,belum menikah,Mahasiswa,WNI
4683482543324068,"Ir. Cawisadi Riyanti, S.Psi",Meulaboh,1923-07-27,Laki-Laki,A,"Gang Laswi No. 716
Tarakan, DI Yogyakarta 90580",Kristen,cerai,Pelajar,WNA
3334833093729520,Tantri Pudjiastuti,Binjai,1954-11-10,Laki-Laki,AB,"Gang Kiaracondong No. 113
Bandung, SU 87660",Hindu,cerai,Pelajar,WNA
8102799707059186,Labuh Sudiati,Padangpanjang,2018-03-10,Laki-Laki,O,"Jl. PHH. Mustofa No. 5
Jayapura, ST 43967",Hindu,menikah,Wiraswasta,WNA
2920404096403207,"Dr. Praba Anggraini, S.I.Kom",Bekasi,1951-04-14,Perempuan,A,"Jalan Suryakencana No. 4
Banjarmasin, Kalimantan Utara 90383",Hindu,belum menikah,Pelajar,WNI
0273960269923509,"Drs. Simon Suryono, S.Farm",Banda Aceh,1955-01-26,Perempuan,O,"Jalan Antapani Lama No. 365
Tual, Sumatera Selatan 37604",Kristen,cerai,Karyawan Swasta,WNA
3210631612533020,Hani Purnawati,Jambi,1948-11-14,Perempuan,AB,"Gg. Bangka Raya No. 6
Padang, Maluku 80063",Islam,belum menikah,Mahasiswa,WNI
8090840283503029,drg. Harja Prastuti,Payakumbuh,1977-06-30,Laki-Laki,B,"Gg. Jend. A. Yani No. 19
Salatiga, Sulawesi Tenggara 04339",Konghucu,belum menikah,Mahasiswa,WNI
5295046191629504,"Adika Tampubolon, S.E.",Pasuruan,2000-02-19,Laki-Laki,A,"Gg. Cikapayang No. 2
Kota Administrasi Jakarta Utara, KI 13781",Katolik,menikah,Mahasiswa,WNI
5795592398004022,R.M. Luhung Waskita,Metro,1942-12-31,Perempuan,O,"Gang Surapati No. 25
Serang, AC 04209",Katolik,belum menikah,Wiraswasta,WNI
6754523648946661,Ir. Yessi Dabukke,Batam,1990-09-19,Laki-Laki,A,"Gang Ahmad Yani No. 8
Singkawang, LA 34364",Islam,cerai,PNS,WNI
8931924516628879,Puspa Pradana,Bandung,2005-12-28,Laki-Laki,B,"Gg. Pacuan Kuda No. 380
Yogyakarta, PA 55497",Islam,cerai,Wiraswasta,WNA
8041335037307837,Tgk. Sabrina Andriani,Solok,1910-10-13,Perempuan,A,"Jl. Bangka Raya No. 2
Padang, Riau 05531",Buddha,belum menikah,Wiraswasta,WNI
0472841841219949,"Yono Riyanti, S.Farm",Sungai Penuh,2017-10-13,Perempuan,AB,"Gang Suniaraja No. 2
Kotamobagu, Kalimantan Tengah 41140",Konghucu,cerai,Pelajar,WNA
3983115163085927,Sabrina Purnawati,Pekanbaru,1911-11-14,Perempuan,B,"Jl. Cikapayang No. 3
Serang, SG 42545",Kristen,menikah,Pelajar,WNA
8261491989099656,Prasetyo Padmasari,Pasuruan,2013-11-21,Perempuan,A,"Jl. Moch. Ramdan No. 17
Cimahi, Kalimantan Utara 22484",Islam,cerai,Tidak Bekerja,WNA
9646019539472057,Ira Najmudin,Serang,2019-02-24,Laki-Laki,O,"Jalan Suryakencana No. 965
Pasuruan, BA 50916",Hindu,belum menikah,Tidak Bekerja,WNA
7619592746207514,R. Caket Nashiruddin,Tegal,1953-04-21,Perempuan,B,"Jalan Jend. A. Yani No. 63
Tangerang Selatan, Papua Barat 71022",Hindu,cerai,PNS,WNA
9771029133834299,Teguh Puspasari,Pasuruan,1978-03-22,Laki-Laki,O,"Gang Cempaka No. 5
Tomohon, SS 74844",Katolik,menikah,Mahasiswa,WNI
0386796545064959,Jayeng Nashiruddin,Pekalongan,1989-01-03,Laki-Laki,A,"Jalan Surapati No. 4
Banjar, Kalimantan Barat 26232",Islam,cerai,Wiraswasta,WNA
2783630627005375,"Maya Hardiansyah, S.E.",Mataram,1927-07-11,Laki-Laki,A,"Jl. Waringin No. 20
Kota Administrasi Jakarta Selatan, Jawa Barat 68613",Konghucu,menikah,Karyawan Swasta,WNA
9450963126914321,KH. Endra Narpati,Probolinggo,1969-05-11,Laki-Laki,O,"Gg. Otto Iskandardinata No. 92
Kota Administrasi Jakarta Barat, Nusa Tenggara Barat 74216",Hindu,menikah,Karyawan Swasta,WNI
2654800385231710,"Gandewa Habibi, M.Pd",Tebingtinggi,2015-12-15,Laki-Laki,B,"Gang Ciumbuleuit No. 3
Pangkalpinang, Sulawesi Barat 72793",Hindu,menikah,Pelajar,WNI
3436608297665436,Ana Oktaviani,Palembang,1979-11-19,Perempuan,B,"Jalan HOS. Cokroaminoto No. 2
Padang, DKI Jakarta 66070",Hindu,menikah,Wiraswasta,WNI
2206922554627527,Labuh Wibowo,Tasikmalaya,2016-05-20,Perempuan,O,"Jl. Pasir Koja No. 2
Manado, Papua Barat 01903",Konghucu,menikah,PNS,WNA
4850552111421910,Halima Lazuardi,Pematangsiantar,1961-11-19,Laki-Laki,A,"Jalan Erlangga No. 042
Metro, SR 84115",Kristen,belum menikah,PNS,WNA
0905714632352162,"Ami Tamba, M.Ak",Singkawang,1923-11-30,Laki-Laki,B,"Gg. Soekarno Hatta No. 160
Bandung, JA 92988",Hindu,cerai,Karyawan Swasta,WNA
7460099368158611,Elisa Namaga,Tidore Kepulauan,1920-08-17,Perempuan,AB,"Jl. Veteran No. 953
Subulussalam, Kalimantan Barat 52305",Hindu,menikah,Mahasiswa,WNA
0006487001421771,Hesti Usamah,Surakarta,1974-05-10,Laki-Laki,O,"Jalan Jayawijaya No. 445
Tomohon, Maluku 12280",Katolik,menikah,PNS,WNA
3498008909327173,Maida Wijaya,Sibolga,1978-07-20,Laki-Laki,A,"Jalan Merdeka No. 01
Jambi, Sulawesi Utara 58801",Kristen,cerai,Karyawan Swasta,WNA
4074074786578464,"R. Ifa Anggraini, S.Farm",Bekasi,2003-10-18,Laki-Laki,A,"Gg. Kebonjati No. 613
Pasuruan, Bali 12107",Kristen,cerai,Pelajar,WNA
3931277021063154,Uchita Usamah,Bogor,1982-01-17,Laki-Laki,B,"Gg. Antapani Lama No. 8
Ambon, PB 39596",Kristen,cerai,Karyawan Swasta,WNI
4153974674257843,"Drs. Vero Salahudin, S.E.I",Samarinda,2002-02-22,Perempuan,A,"Jl. Setiabudhi No. 52
Binjai, Jambi 56945",Katolik,belum menikah,Karyawan Swasta,WNA
6327109855909313,"Rina Palastri, S.Gz",Serang,1965-04-12,Perempuan,A,"Jalan Cikutra Timur No. 37
Bima, MU 29093",Kristen,belum menikah,Pelajar,WNA
5990808282343648,"Dr. Raharja Mayasari, M.Ak",Pematangsiantar,1909-07-13,Perempuan,O,"Jalan Rawamangun No. 89
Solok, Bengkulu 44182",Konghucu,menikah,Mahasiswa,WNI
4138318637305940,"R.M. Rafi Utama, M.TI.",Manado,2014-09-26,Perempuan,AB,"Jalan BKR No. 754
Lhokseumawe, Kalimantan Barat 55684",Hindu,menikah,Karyawan Swasta,WNI
5557241539322181,Pranata Mandasari,Tanjungpinang,1911-08-25,Laki-Laki,AB,"Gang Siliwangi No. 506
Pekalongan, Nusa Tenggara Barat 24625",Konghucu,cerai,Mahasiswa,WNA
8291284488514603,Imam Pratiwi,Sabang,2014-12-31,Perempuan,AB,"Gang Sadang Serang No. 7
Sibolga, Jawa Barat 45525",Konghucu,menikah,Mahasiswa,WNA
9388247604027828,Adikara Tampubolon,Kupang,1945-10-11,Laki-Laki,AB,"Jalan Raya Setiabudhi No. 020
Bengkulu, Kalimantan Tengah 10694",Hindu,cerai,Karyawan Swasta,WNA
2628221004308118,"Kawaya Yuliarti, M.Kom.",Kota Administrasi Jakarta Pusat,1998-11-04,Laki-Laki,AB,"Gg. Jend. A. Yani No. 325
Solok, PB 34931",Buddha,menikah,Wiraswasta,WNI
6248081245848033,Jasmin Kusumo,Bontang,2016-05-31,Perempuan,O,"Jalan Ciumbuleuit No. 438
Pasuruan, Lampung 49783",Konghucu,menikah,Karyawan Swasta,WNA
2645515579721256,Salsabila Pradipta,Pematangsiantar,1969-08-20,Perempuan,A,"Jl. Astana Anyar No. 36
Tebingtinggi, LA 78622",Konghucu,belum menikah,Pelajar,WNI
4850570860015976,Tgk. Banawa Wijayanti,Bukittinggi,1991-04-04,Perempuan,B,"Gang Dipatiukur No. 171
Solok, Jawa Barat 15973",Buddha,belum menikah,Wiraswasta,WNA
0968547229378162,Yulia Prasetyo,Tanjungbalai,1992-05-12,Laki-Laki,AB,"Gang Jamika No. 44
Tasikmalaya, SS 91016",Konghucu,belum menikah,Mahasiswa,WNA
7110653512310090,Kasiyah Suartini,Kota Administrasi Jakarta Utara,1980-03-18,Laki-Laki,AB,"Jalan Otto Iskandardinata No. 337
Palu, Maluku Utara 31948",Buddha,belum menikah,Tidak Bekerja,WNI
7871801294453649,Maya Marbun,Tanjungbalai,1966-10-01,Perempuan,A,"Gang Rumah Sakit No. 4
Kupang, JT 69018",Katolik,menikah,Mahasiswa,WNA
7759288355294928,Zelaya Thamrin,Purwokerto,2010-09-18,Laki-Laki,A,"Jalan Moch. Ramdan No. 66
Dumai, SU 59139",Konghucu,belum menikah,Karyawan Swasta,WNA
5052506632550065,Nugraha Saputra,Singkawang,1975-02-03,Perempuan,B,"Gg. BKR No. 3
Bontang, Sulawesi Barat 05415",Konghucu,menikah,Mahasiswa,WNA
1959288358586615,Zalindra Ardianto,Bima,1966-02-12,Perempuan,B,"Jalan Cikapayang No. 9
Cilegon, KT 36024",Islam,belum menikah,Tidak Bekerja,WNI
0929481936905182,"Agnes Dabukke, M.Ak",Mojokerto,1993-05-21,Perempuan,A,"Gg. W.R. Supratman No. 2
Sibolga, KT 85362",Islam,menikah,Karyawan Swasta,WNA
8912646283683177,Sari Uwais,Serang,1940-11-05,Laki-Laki,A,"Jalan Sadang Serang No. 7
Sukabumi, Jawa Barat 52217",Konghucu,belum menikah,Karyawan Swasta,WNI
2633287128911895,Tedi Ardianto,Denpasar,1939-11-12,Perempuan,AB,"Gang Abdul Muis No. 16
Palangkaraya, BA 50624",Hindu,cerai,Mahasiswa,WNI
6088985513388784,Dr. Rina Haryanti,Surakarta,1911-10-19,Laki-Laki,B,"Gg. Monginsidi No. 89
Cimahi, KS 41780",Katolik,menikah,Tidak Bekerja,WNI
6977215235906473,Prabowo Firmansyah,Pontianak,1937-10-17,Perempuan,B,"Jl. Ciwastra No. 936
Palangkaraya, MA 41811",Konghucu,cerai,Tidak Bekerja,WNA
7061199916093052,Bella Prabowo,Bengkulu,1969-03-28,Perempuan,O,"Gg. M.T Haryono No. 867
Dumai, Gorontalo 96236",Kristen,belum menikah,Mahasiswa,WNI
3961395506658803,Yani Hutasoit,Tangerang Selatan,1973-12-22,Laki-Laki,B,"Jl. M.T Haryono No. 61
Lhokseumawe, JI 44020",Kristen,menikah,Mahasiswa,WNA
1591251176843217,Gilang Hidayat,Ternate,1993-12-12,Laki-Laki,A,"Gang Rajawali Barat No. 905
Tegal, Kalimantan Utara 89348",Buddha,belum menikah,PNS,WNI
8176088324678557,Mustika Wibisono,Meulaboh,2022-09-14,Perempuan,A,"Jalan Suniaraja No. 286
Tangerang Selatan, SU 05356",Konghucu,cerai,Pelajar,WNA
3892224514118210,Ir. Abyasa Riyanti,Pagaralam,1913-10-18,Laki-Laki,AB,"Gg. Kebonjati No. 69
Magelang, Nusa Tenggara Barat 38142",Kristen,cerai,Tidak Bekerja,WNA
0938492057745251,Zelaya Wijayanti,Jambi,1968-06-14,Perempuan,O,"Jl. Gedebage Selatan No. 3
Tual, KT 17322",Katolik,belum menikah,Tidak Bekerja,WNA
8963632048654309,"Ir. Warsa Pangestu, S.I.Kom",Tomohon,2016-10-14,Perempuan,A,"Jl. K.H. Wahid Hasyim No. 64
Banjarbaru, Sulawesi Tengah 14640",Katolik,menikah,Pelajar,WNA
9125526153614652,"Aslijan Budiyanto, M.Pd",Palu,1992-12-11,Laki-Laki,AB,"Jl. Erlangga No. 08
Tanjungbalai, Papua 54354",Konghucu,cerai,Karyawan Swasta,WNI
3991046077791722,"Jatmiko Nuraini, M.M.",Palembang,1995-03-21,Perempuan,O,"Gang Pasirkoja No. 27
Pematangsiantar, Maluku Utara 27506",Katolik,menikah,Pelajar,WNA
0334888044237164,Qori Nainggolan,Bandung,1959-07-01,Laki-Laki,B,"Jl. Sukajadi No. 95
Purwokerto, KU 98411",Hindu,menikah,Tidak Bekerja,WNI
8839624874360198,"Cut Dinda Adriansyah, M.TI.",Kediri,2021-11-07,Laki-Laki,B,"Jl. Dipenogoro No. 6
Tegal, SN 57108",Hindu,cerai,Pelajar,WNI
2546676311902690,Drs. Lintang Zulaika,Manado,1972-07-14,Laki-Laki,O,"Gang Pacuan Kuda No. 42
Madiun, NT 21645",Katolik,cerai,Pelajar,WNA
4990982021261551,Digdaya Zulaika,Tual,1920-07-15,Laki-Laki,O,"Jl. BKR No. 2
Blitar, Sumatera Selatan 45998",Islam,menikah,PNS,WNA
0381208471126771,Dalima Nuraini,Cimahi,2021-12-29,Laki-Laki,O,"Jl. Gedebage Selatan No. 988
Sukabumi, NT 05370",Kristen,cerai,PNS,WNA
1765670304126309,dr. Yuliana Wasita,Kupang,1934-02-07,Laki-Laki,O,"Gang Setiabudhi No. 965
Banjar, JI 00650",Islam,menikah,PNS,WNI
7730053972145857,Ozy Hutapea,Metro,2002-05-04,Perempuan,O,"Jalan Raya Ujungberung No. 690
Purwokerto, Sumatera Selatan 27968",Buddha,belum menikah,Tidak Bekerja,WNA
5497979763838254,Cagak Samosir,Tanjungbalai,2021-12-02,Perempuan,A,"Jl. Erlangga No. 542
Banjarbaru, BE 05507",Katolik,belum menikah,Pelajar,WNA
8734456832843777,Lidya Nainggolan,Binjai,2023-12-14,Perempuan,A,"Jl. Ahmad Dahlan No. 770
Sungai Penuh, DI Yogyakarta 91718",Katolik,belum menikah,Pelajar,WNI
6791367497730461,T. Raditya Suartini,Sorong,2011-06-05,Perempuan,O,"Gg. S. Parman No. 63
Ternate, RI 11316",Islam,menikah,PNS,WNA
6980842542531987,Drs. Kalim Mulyani,Cilegon,1939-04-01,Laki-Laki,AB,"Jalan M.H Thamrin No. 8
Purwokerto, KR 17835",Kristen,menikah,PNS,WNA
7810603376038437,Michelle Lailasari,Sorong,1978-08-09,Laki-Laki,AB,"Jl. Jakarta No. 2
Bontang, PB 36858",Islam,menikah,Tidak Bekerja,WNA
